episode_id,seed,shape,color,material,action,event_label,utterance_pre,utterance_post,mass,friction,bounciness,hardness,rollability,graspability,initial_obj_x,initial_obj_y,early_obj_vx,early_obj_vy,final_obj_x,final_obj_y,first_contact_force,max_force,contact_count,slip_estimate,vibration_energy,hardness_proxy
2000000,900000123,block,green,plastic,push,missed,Look at the green block. Try to push it.,You missed the green block.,1.1489963184244476,0.4397633787800683,0.3631363411371818,0.5982665947851116,0.05,0.62,71.7958038012178,113.15971784202813,0.0,0.0,71.7958038012178,113.15971784202813,0.0,0.0,0.0,0.0,0.0,0.0
2000001,900001132,block,blue,metal,poke,slides,Can you poke the blue block?,The blue block slid on the floor.,2.267098164296321,0.33466550493008207,0.18567597619528176,0.9681945805128289,0.05,0.62,99.44526033218816,87.81007912633571,1.4467420860872091,-0.6847725222779165,123.36799708058939,76.48696014021543,1.4061607764849757,1.4061607764849757,19.0,1.9373185285463754,4.362521296394647,1.0972341107637527
2000002,900002141,block,yellow,wood,tap,slides,Look at the yellow block. Try to tap it.,The yellow block slid on the floor.,1.2947447745951,0.47116902884941414,0.17879571607023081,0.7215263731582802,0.05,0.62,112.51443051017696,80.68503681043667,2.7609574266335386,-0.7536180396194142,152.67045251007085,69.7242366595364,0.9584168742769847,1.0941870257896857,13.0,0.6490044645493029,2.196231501312515,0.829733912218601
2000003,900003150,plush,purple,wood,push,stays,What happens if you push the plush?,The purple plush stayed there.,1.4961234159567152,0.5542099217858816,0.20023182789475352,0.6566051328611571,0.03,0.75,104.77474640550133,112.21186336313389,0.0,0.0,104.77474640550133,112.21186336313389,0.2607162398016469,0.2942719234140864,8.0,0.6234466270712493,0.4111188422134855,0.7533676917892975
2000004,900004159,ball,blue,metal,grasp,grasp_fail,What happens if you grasp the ball?,The blue ball slipped away.,2.080671154957634,0.2636126228439322,0.1530775693966504,0.8760632756922919,1.0,0.45,89.59753349193167,75.7904556994253,0.0,0.0,89.59753349193167,75.7904556994253,1.230046306139176,1.4796786531253447,16.0,1.6391390104925212,3.1925357281725906,0.9888675741805724
2000005,900005168,block,blue,metal,tap,slides,What happens if you tap the block?,The blue block slid on the floor.,2.4280947300678073,0.29645385258263784,0.18757898503710366,0.8829171687169975,0.05,0.62,85.81986569443319,87.81686828849641,-1.289823865486978,1.1214306945860535,64.17703190926575,106.63411828204279,1.291768441109252,1.4448091626796187,17.0,1.066898120370097,4.082129418641886,0.999842000076199
2000006,900006177,plush,red,plastic,poke,slides,Look at the red plush. Try to poke it.,The red plush slid on the floor.,0.9382794415822938,0.3850431851358883,0.38823604398163236,0.6074472829829797,0.03,0.75,117.82300425781105,67.59401237163408,0.8803883778134135,1.2899647845925553,132.1091829031582,88.52644153961852,0.297484675566817,0.3652915090540724,19.0,1.861469258553901,2.256702156648414,0.6927481884779688
2000007,900007186,ball,yellow,metal,tap,rolls_far,Can you tap the yellow ball?,The yellow ball rolled away!,1.8375217993732702,0.36435703369449834,0.1565511889901942,0.9080434671369051,1.0,0.45,89.40110335311395,97.0251170663546,-2.6384368705501777,2.496060100770938,49.2722823230754,134.98848476412726,1.2009629837790419,1.2040738236553543,9.0,0.6802184793699059,1.5686588694707455,0.9794483001313383
2000008,900008195,block,green,plastic,tap,slides,Can you tap the green block?,The green block slid on the floor.,1.144374784729552,0.45099761649610864,0.3985665927500297,0.5322686305184314,0.05,0.62,84.37158740190962,91.80802611262892,0.35086793092790114,1.3123286287080023,89.11979743847584,109.56744900894635,0.26461278021571055,0.31834726169945504,17.0,0.84745148969566,1.9362683181781035,0.6031929654297514
2000009,900009204,ball,purple,plastic,poke,small_move,Look at the purple ball. Try to poke it.,The purple ball moved a little.,1.0375797518681094,0.3203485677956474,0.40612526294949336,0.6019030744593868,1.0,0.45,75.6292719749579,102.70410604950943,-0.48380529747838225,0.2688826178854242,67.02550961662955,107.48578611508326,0.27409578808534185,0.290877973666342,13.0,1.4203869166456349,1.3808878871007226,0.656347681344954
2000010,900010213,ball,yellow,plastic,push,small_move,Can you push the yellow ball?,The yellow ball moved a little.,0.9539935761743857,0.346702353887405,0.33394521292120416,0.5456320215898787,1.0,0.45,129.75432962278174,65.87599422767163,-1.369188298357778,-0.009309066564963156,94.06650891454252,65.63335389914275,0.27505633063998336,0.28645142503323023,17.0,1.8896615927764926,1.4432484979973732,0.6274182714484892
2000011,900011222,block,blue,metal,tap,slides,What happens if you tap the block?,The blue block slid on the floor.,2.376946392775939,0.2425883095661729,0.17864120173501552,0.9782217925697412,0.05,0.62,105.46611305159857,95.3637392026683,-0.8282918065601634,0.8481715056087337,91.26991914689567,109.90065368461883,0.9095303248663461,1.0695608571890882,19.0,1.2273358055903263,3.12203123663814,1.1119330140911952
2000012,900012231,ball,purple,foam,tap,rolls_far,Look at the purple ball. Try to tap it.,The purple ball rolled away!,0.5747899526074173,0.8738246107334129,0.12740371398606137,0.24632167957126663,1.0,0.45,114.58078496708183,101.86393866514948,-10.70101427280101,6.509830513996401,30.234670460173735,183.46909560632423,0.3561810337439574,0.3973598414038394,3.0,0.09007629735004803,0.14372351825489432,0.25900674830992504
